Label,Color,Marker,Size,Width,Style,Alpha,Age(ma),SiO2,TiO2,Ti,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,K,P,LOI(wt%),Total(wt%),Mg#,Li(ppm),Be(ppm),Sc,V,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y,Zr,Nb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl(ppm),Pb,Th,U
Zhang SH2016,red,o,10,1,-,0.6,910,47.35,2.76,16541.86398,14.24,13.78,5.04,0.17,4.65,9.12,1.93,0.69,0.28,5728.019661,1221.97787,4.93,99.9,40.1,13.6,0.92,36.8,354.0,262.0,39.0,74.2,35.9,104.0,21.2,20.8,262,33.9,148.0,14.4,0.57,172.0,14.9,32.6,4.85,22.0,5.7,1.99,6.27,1.02,6.22,1.24,3.39,0.47,2.84,0.43,3.81,0.88,0.17,2.94,2.25,0.45
Zhang SH2016,red,o,10,1,-,0.6,910,48.28,2.87,17201.14117,14.68,16.08,9.44,0.2,5.88,7.23,1.92,0.04,0.37,332.0591108,1614.756472,2.4,99.94,42.0,15.4,0.82,35.3,331.0,268.0,38.6,67.0,33.5,99.5,19.4,21.6,239,28.9,130.0,12.1,0.68,414.0,12.3,29.5,4.19,19.3,5.02,1.76,5.65,0.9,5.4,1.07,3.03,0.42,2.62,0.37,3.27,0.73,0.15,4.3,2.01,0.45
Zhang SH2016,red,o,10,1,-,0.6,920,46.84,2.75,16481.9297,13.12,14.21,9.22,0.2,6.34,8.88,1.87,1.06,0.28,8799.566436,1221.97787,4.38,99.93,46.9,56.0,1.03,38.1,340.0,68.9,51.0,68.3,116.0,118.0,21.6,0.36,634,34.2,159.0,15.9,0.14,30.8,19.7,43.3,5.75,25.5,6.26,2.25,6.61,1.1,6.5,1.29,3.57,0.51,3.05,0.46,4.09,0.96,0.004,4.13,2.02,0.41
Zhang SH2016,red,o,10,1,-,0.6,920,46.24,4.7,28169.11621,14.45,20.35,4.44,0.22,2.46,2.21,1.3,1.89,0.6,15689.79299,2618.524008,5.31,99.73,19.3,28.9,1.85,37.8,302.0,5.14,35.9,13.3,14.6,135.0,25.9,55.3,155,51.2,262.0,3.82,1.48,657.0,22.5,64.7,7.19,32.8,8.53,2.43,9.63,1.59,9.65,1.97,5.4,0.77,4.69,0.71,6.84,0.12,0.36,2.61,4.48,2.32
Zhang SH2016,red,o,10,1,-,0.6,920,47.89,2.49,14923.63816,13.86,13.46,5.11,0.18,6.21,10.06,1.96,0.69,0.25,5728.019661,1091.05167,2.94,99.99,47.8,25.3,1.1,35.2,367.0,155.0,48.0,84.4,25.8,112.0,21.3,33.9,297,34.0,163.0,15.3,0.89,431.0,14.9,37.0,4.98,22.7,5.94,2.19,6.26,1.04,6.46,1.27,3.44,0.48,3.08,0.44,4.18,0.93,0.24,2.22,2.43,0.51
Zhang SH2016,red,o,10,1,-,0.6,920,51.93,2.93,17560.74691,12.21,16.93,8.76,0.25,2.89,4.57,2.54,1.15,0.62,9546.699436,2705.808142,3.94,99.96,25.3,21.6,1.99,25.7,148.0,0.67,25.3,0.67,5.83,113.0,25.6,36.6,244,57.7,323.0,32.8,1.03,295.0,29.7,66.4,9.16,41.1,10.4,3.41,11.1,1.75,10.7,2.14,5.91,0.84,5.38,0.8,8.04,1.73,0.25,1.55,4.79,1.06
Wang chong 2016,green,*,10,1,-,0.6,775,49.9,1.01,6053.36327,14.1,12.8,9.52,0.2,7.32,11.2,1.99,0.4,0.08,3320.591108,349.1365344,0.68,99.6,58.0,6.07,0.4,43.9,271.0,250.0,49.3,117.0,116.0,91.4,17.5,11.5,190,22.5,69.6,4.4,0.39,94.3,8.67,16.3,2.69,12.4,3.18,1.08,3.69,0.65,4.14,0.85,2.35,0.35,2.21,0.34,2.07,0.29,0.1,1.94,1.08,0.25
Wang chong 2016,green,*,10,1,-,0.6,775,49.6,0.97,5813.626111,14.0,12.4,9.3,0.2,7.65,11.6,1.92,0.39,0.08,3237.57633,349.1365344,0.56,99.3,60.0,5.31,0.36,45.4,277.0,287.0,50.0,102.0,103.0,84.0,17.5,13.5,186,20.2,62.0,3.82,0.51,91.4,6.59,13.7,2.19,10.0,2.67,0.95,3.26,0.55,3.52,0.74,2.1,0.32,2.0,0.3,1.83,0.26,0.09,1.77,0.87,0.21
Wang chong 2016,green,*,10,1,-,0.6,775,50.0,1.19,7132.180486,13.9,13.9,9.81,0.21,6.51,10.8,2.13,0.45,0.1,3735.664997,436.420668,0.32,99.5,54.0,5.29,0.37,42.9,286.0,262.0,54.2,89.9,120.0,87.3,17.2,12.1,182,20.2,67.6,4.07,0.65,96.3,6.81,15.4,2.36,10.9,2.84,0.96,3.39,0.58,3.73,0.77,2.17,0.33,2.13,0.32,1.95,0.28,0.11,1.86,0.98,0.2
Wang chong 2016,green,*,10,1,-,0.6,775,49.6,0.97,5813.626111,14.0,12.5,13.6,0.2,7.7,11.4,2.04,0.47,0.08,3901.694552,349.1365344,0.42,99.3,51.0,3.81,0.46,42.2,317.0,173.0,54.5,71.7,123.0,104.0,18.5,15.8,195,23.3,85.7,5.08,0.56,138.0,8.8,18.7,2.93,13.0,3.45,1.11,3.98,0.69,4.53,0.92,2.56,0.39,2.52,0.38,2.44,0.35,0.19,2.46,1.38,0.29
Wang chong 2016,green,*,10,1,-,0.6,775,50.4,1.04,6233.166139,14.4,12.4,9.34,0.19,6.72,10.4,2.38,0.5,0.1,4150.738885,436.420668,1.08,99.6,56.0,3.74,0.51,36.7,252.0,102.0,49.8,68.8,87.9,85.5,18.6,15.0,232,19.8,78.8,4.44,0.34,170.0,6.82,15.7,2.26,10.3,2.88,1.1,3.4,0.59,3.6,0.77,2.12,0.31,1.98,0.3,2.34,0.32,0.1,3.92,2.47,0.47
Wang chong 2016,green,*,10,1,-,0.6,775,50.8,0.94,5633.823241,14.3,11.8,9.64,0.19,7.08,10.4,2.3,0.69,0.09,5728.019661,392.7786012,0.86,99.4,57.0,14.8,0.9,45.5,308.0,168.0,61.7,87.5,100.0,104.0,21.7,34.3,298,21.0,78.8,4.94,1.92,188.0,11.6,22.9,3.26,14.0,3.52,1.2,3.76,0.62,3.79,0.79,2.18,0.33,2.02,0.31,2.39,0.33,0.2,3.54,2.32,0.5
Wang chong 2016,green,*,10,1,-,0.6,775,48.5,1.58,9469.617788,13.3,15.9,12.1,0.23,5.91,8.76,2.61,1.16,0.14,9629.714213,610.9889352,1.14,99.2,47.0,6.71,0.64,43.7,363.0,142.0,49.1,137.0,131.0,124.0,20.2,59.7,288,28.5,102.0,6.23,1.04,179.0,13.1,23.1,3.93,18.0,4.75,1.48,5.09,0.9,5.71,1.18,3.17,0.46,3.0,0.47,3.14,0.42,0.32,3.91,2.26,0.5
Wang chong 2016,green,*,10,1,-,0.6,775,49.4,1.54,9229.880629,13.4,15.5,12.1,0.22,5.94,9.36,2.34,0.77,0.14,6392.137883,610.9889352,0.66,99.2,47.0,9.61,1.14,57.3,539.0,173.0,64.7,269.0,227.0,143.0,25.0,30.7,284,31.5,117.0,6.84,1.02,326.0,14.0,27.4,4.53,21.5,5.39,1.59,5.67,1.03,6.52,1.32,3.55,0.53,3.45,0.54,3.35,0.46,0.15,4.52,2.41,0.5
