Shift,Strength
522.12781,1643.7273
523.56854,1639.9895
525.00922,1635.9833
526.44995,1599.1541
527.89063,1594.0552
529.33136,1596.6498
530.77209,1577.967
532.21277,1597.1587
533.6535,1620.024
535.09418,1560.1085
536.53491,1554.4861
537.97565,1537.7869
539.41632,1520.729
540.85706,1527.1196
542.29773,1556.6201
543.73846,1571.8647
545.17914,1545.8789
546.61987,1553.2689
548.06061,1548.1348
549.50128,1569.2734
550.94202,1616.7104
552.38269,1525.9005
553.82343,1597.9169
555.26416,1512.5022
556.70483,1497.797
558.14557,1536.4706
559.58624,1504.3384
561.02698,1507.1346
562.46765,1527.1149
563.90839,1536.0433
565.34912,1533.3685
566.78979,1524.2886
568.23053,1517.3815
569.6712,1528.9777
571.11194,1571.1531
572.55261,1557.8179
573.99335,1514.4211
575.43408,1471.1418
576.87476,1440.8097
578.31549,1510.0743
579.75616,1492.2173
581.1969,1528.145
582.63763,1561.9911
584.07831,1554.8451
585.51904,1579.1508
586.95972,1533.567
588.40045,1497.1696
589.84113,1499.3708
591.28186,1553.5511
592.7226,1623.9894
594.16327,1596.6307
595.604,1535.4508
597.04468,1513.3124
598.48541,1506.0596
599.92615,1514.2595
601.36682,1527.056
602.80756,1477.0811
604.24823,1542.6188
605.68896,1535.8357
607.12964,1498.4111
608.57037,1484.8586
610.01111,1514.6544
611.45178,1502.056
612.89252,1514.7847
614.33319,1543.4368
615.77393,1564.5596
617.2146,1561.5066
618.65533,1536.6008
620.09607,1532.905
621.53674,1534.2505
622.97748,1488.5739
624.41815,1496.5232
625.85889,1542.2653
627.29962,1551.824
628.7403,1519.7512
630.18103,1542.7399
631.6217,1521.9604
633.06244,1529.1106
634.50311,1533.6075
635.94385,1491.2271
637.38458,1530.9746
638.82526,1529.4868
640.26599,1563.1442
641.70667,1547.8363
643.1474,1507.0425
644.58813,1510.6708
646.02881,1562.5623
647.46954,1585.3579
648.91022,1600.8479
650.35095,1567.4799
651.79163,1543.8949
653.23236,1574.9114
654.6731,1538.4664
656.11377,1543.9338
657.5545,1519.4398
658.99518,1559.9675
660.43591,1592.4919
661.87659,1552.673
663.31732,1555
664.75806,1517.5378
666.19873,1541.5018
667.63947,1521.7517
669.08014,1514.9131
670.52087,1554.332
671.96161,1539.2159
673.40228,1522.7219
674.84302,1570.8965
676.28369,1553.793
677.72443,1526.3711
679.1651,1551.1425
680.60583,1617.5457
682.04657,1625.7361
683.48724,1571.0353
684.92798,1576.6471
686.36865,1603.7871
687.80939,1632.2798
689.25012,1687.4536
690.6908,1766.077
692.13153,1797.0176
693.5722,1764.3341
695.01294,1796.4282
696.45361,1812.4456
697.89435,1690.5658
699.33508,1699.3187
700.77576,1645.0764
702.21649,1626.764
703.65717,1582.7262
705.0979,1559.821
706.53857,1596.4496
707.97931,1600.7827
709.42004,1595.1703
710.86072,1592.4609
712.30145,1631.8556
713.74213,1646.631
715.18286,1614.0068
716.6236,1601.1039
718.06427,1568.51
719.505,1584.4954
720.94568,1557.4277
722.38641,1572.2028
723.82709,1615.0779
725.26782,1602.5992
726.70856,1597.7283
728.14923,1588.8828
729.58997,1534.76
731.03064,1554.0126
732.47137,1596.1005
733.91211,1581.5292
735.35278,1561.1648
736.79352,1572.5527
738.23419,1587.3337
739.67493,1612.7593
741.1156,1623.89
742.55634,1626.0005
743.99707,1654.8014
745.43774,1669.2041
746.87848,1625.6024
748.31915,1629.5013
749.75989,1646.5597
751.20056,1632.3916
752.6413,1589.5084
754.08203,1614.3524
755.52271,1583.3615
756.96344,1636.1838
758.40411,1635.8068
759.84485,1602.9324
761.28558,1583.5441
762.72626,1586.1482
764.16699,1627.3804
765.60767,1651.4132
767.0484,1641.3457
768.48907,1615.5781
769.92981,1614.5978
771.37054,1651.8395
772.81122,1657.9607
774.25195,1664.4645
775.69263,1636.2971
777.13336,1630.2722
778.5741,1648.7018
780.01477,1660.2959
781.45551,1636.7382
782.89618,1647.8196
784.33691,1675.4888
