Label,Color,Marker,Size,Width,Style,Alpha,μm,μm,Vapor ratio%,Th,Tm
VeinQuartz1501-b7,green,o,10,1,-,0.6,4.80 ,9.80 ,10,174.00 ,-7.40 
VeinQuartz1501-b7,green,o,10,1,-,0.6,7.80 ,8.80 ,60,343.80 ,-0.20 
VeinQuartz1501-b7,green,o,10,1,-,0.6,9.20 ,13.70 ,25,207.10 ,-6.00 
VeinQuartz1501-b7,green,o,10,1,-,0.6,5.70 ,8.30 ,20,,-13.30 
VeinQuartz1501-b7,green,o,10,1,-,0.6,3.20 ,7.50 ,10,112.30 ,-1.60 
VeinQuartz1501-b7,green,o,10,1,-,0.6,7.30 ,9.40 ,50,372.40 ,-4.70 
VeinQuartz1501-b7,green,o,10,1,-,0.6,6.00 ,8.30 ,60,366.30 ,-2.30 
VeinQuartz1501-b7,green,o,10,1,-,0.6,4.60 ,10.00 ,10,132.40 ,-9.20 
VeinQuartz1501-b7,green,o,10,1,-,0.6,8.30 ,11.60 ,10,149.70 ,-9.80 
VeinQuartz1501-b7,green,o,10,1,-,0.6,6.30 ,12.70 ,10,149.70 ,-11.00 
VeinQuartz1501-b7,green,o,10,1,-,0.6,7.10 ,10.90 ,10,174.00 ,-8.20 
VeinSphalerite0705-b5,blue,D,10,1,-,0.6,10.00 ,23.00 ,30,136.60 ,-3.35 
VeinSphalerite0705-b5,blue,D,10,1,-,0.6,11.40 ,20.90 ,40,113.10 ,-3.30 
VeinSphalerite0705-b5,blue,D,10,1,-,0.6,8.20 ,22.20 ,35,308.80 ,
VeinSphalerite0705-b5,blue,D,10,1,-,0.6,4.20 ,7.10 ,10,308.80 ,
VeinSphalerite0705-b5,blue,D,10,1,-,0.6,7.40 ,17.40 ,70,308.80 ,
VeinSphalerite0705-b5,blue,D,10,1,-,0.6,4.80 ,10.40 ,50,,-3.10 
VeinSphalerite0705-b5,blue,D,10,1,-,0.6,2.90 ,6.80 ,40,187.50 ,-3.50 
VeinSphalerite0705-b5,blue,D,10,1,-,0.6,6.00 ,11.90 ,30,204.80 ,-3.50 
VeinSphalerite0705-b5,blue,D,10,1,-,0.6,4.40 ,8.20 ,30,175.40 ,-3.30 
VeinSphalerite0705-b5,blue,D,10,1,-,0.6,5.10 ,12.40 ,30,204.30 ,-2.30 
VeinSphalerite0705-b5,blue,D,10,1,-,0.6,3.10 ,5.80 ,40,158.00 ,-3.30 
VeinSphalerite0705-b5,blue,D,10,1,-,0.6,6.80 ,11.90 ,30,171.40 ,-3.10 
VeinSphalerite0705-b5,blue,D,10,1,-,0.6,7.00 ,14.30 ,40,199.10 ,-4.90 
VeinSphalerite0705-b5,blue,D,10,1,-,0.6,7.30 ,19.40 ,30,202.80 ,-3.80 
