XHigh,41,41,45,48.4,52.5,
YHigh,3,7,9.4,11.5,14,

XMid,61,57.6,53,49.4,45,45,
YMid,(2.4*3.4/4.6+11.7),11.7,9.3,7.3,5,3,

XMid,45,45,49.4,53,57.6,61,
YMid,3,5,7.3,9.3,11.7,(2.4*3.4/4.6+11.7),


XLow,45,52,57,63,69,
YLow,5,5,5.9,7,8,


XRightSpine,50,52.5,57.6,63,
YRightSpine,(2.5*2.3/5.1+14),14,11.7,7,


XMidSpine,48.4,53,57,
YMidSpine,11.5,9.3,5.9,


XLeftSpine,45,49.4,52,
YLeftSpine,9.4,7.3,5,
